Infuriate,Anger
Retort,Answer
Inquire,Ask
Abominable,Awful
Gorgeous,Beautiful
Initiate,Begin
Gigantic,Big
Intrepid,Brave
Radiant,Bright
Frosty,cold
Slit,Cut
Dangerous,risky
Appetizing,Delicious
Procure,Get
Coarse,Gross
Detest,Hate
Succor,Help
slay,destroy
Bustle,Hurry
Concept,Idea
Fascinating,Interesting
Elaborate,explain
Indolent,Lazy
Plunge,Fall
Stout,Fat
Apt,Good
Succor,Help
Hasten,Hurry
Afflict,Hurt
Indispensable,Important
Fascinating,Interesting
Sustain,Keep
Indolent,Lazy
Puny,Little
Scrutinize,Look
Fabricate,Make
Impish,Mischievous
Modern ,New
Plot,Space
Factual,Right
Dash,Run
Exhibit,Show
Slack,Slow
Yarn,Story
Peculiar,Strange 
Reveal,Tell
Contemplate,Think
Tranquil,Quiet
Dash,Run
Slack,Slow
Narrative,Story
Grasp,Hold
Contemplate,Think
Savory,Delicious
Enact,Do
Fervent,Eager
Impartial,Fair
tall,high
tangible,concrete
taut,tense
tender,delicate
terrible,dreadful
thaw,melt
thrifty,economical
thrive,prosper
total,whole
trivial,insignificant
turbulent,tumultuous
turmoil,commotion
unbiased,impartial
upset,perturb
urgent,crucial
vacant,unoccupied
vague,unclear
valiant,courageous
vibrat,quiver
vicious,malicious
victory,triumph
virtuous,righteous
vulgar,offensive
abandon,desert
abbreviate,shorten
ability,aptitude
able,qualified
above,overhead
abundant,ample
accurate,correct
achieve,accomplish
adjourn,recess
advocate,support
after,following
afraid,scared
aggressive,militant
aid,assist
always,forever
amateur,novice
ambitious,driven
antagonize,embitter
apparent,obvious
approve,ratify
arrive,come
arrogant,stuck-up
awful,atrocious
awkward,clumsy
wealth,riches
weary,tired
wholehearted,earnest
wild,uncivilized
win,triumph
wise,knowing
wonderful,marvelous
worn,used
wrong,mistaken
sad,unhappy
same,alike
savage,uncivilized
save,preserve
scarce,scanty
scrawny,skinny
seize,apprehend
separate,divide
serene,peaceful
serious,grave
shrewd,cunning
shy,timid
sick,ailing
slim,thin
sluggish,listless
small,little
smooth,slick
sociable,friendly
sorrow,woe
special,exceptional
spontaneous,instinctive
stable,steady
stationary,fixed
stimulate,motivate
stop,quit
strenuous,vigorous
strict,stringent
strong,powerful
stupid,unintelligent
subsequent,following
successful,thriving
sufficient,ample
superb,magnificent
suppress,estrain
surplus,excess
swift,fast
synthetic,artificial
ban,prohibit
barren,unproductive
bashful,shy
beautiful,pretty,
before,prior
beginning,start
blend,mix
bottom,base
brave,heroic
contented,satisfied
continue,persevere
convalesce,heal
convenient,handy
cozy,comfortable
cranky,irritable
crazy,daft
cruel,mean
cry,sob
fast,rapid
fat,chubby
fatal,deadly
fatigue,tire
feasible,possible
feeble,weak
ferocious,fierce
fertile,fruitful
fiction,fantasy
fill,load
fix,mend
handy,useful
hard,firm
hate,loathe
help,aid
high,lofty
hold,grip
monotonous,boring
moral,righteous
morbid,ghastly
morose,moody
mourn,lament
mysterious,occult
relevant,pertinent
reluctant,unwilling
remote,secluded
repulsive,hideous
resist,oppose
retaliate,avenge
reveal,disclose
risky,hazardous
rowdy,boisterous
rude,impolite
